date,startup,vertical,subvertical,location,investor,investment_type,amount,month,year
01-09-2020,Byju's,Ed-Tech,E-learning,Bangalore,Tiger Global Management,Private Equity,1630.4,9,2020
13-01-2020,Shuttl,Transportation,App based shuttle service,Gurgaon,Susquehanna Growth Equity LLC,Series C,65.611,1,2020
01-09-2020,MamaEarth,eCommerce,Retailer of baby and toddler products,Bangalore,Sequoia Capital,Series B,149.661,9,2020
01-02-2020,wealthbucket.in,FinTech,Online Investment,New Delhi,Vinod Khatumal,Pre-Series A,24.456,2,2020
01-02-2020,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,14.674,2,2020
13-01-2020,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures (formerly IDG Ventures),Series A,73.368,1,2020
01-10-2020,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity,1222.8,10,2020
12-12-2019,Ecozen,Technology,Agri-tech,Pune,Sathguru Catalyzer Advisors,Series A,48.912,12,2019
12-06-2019,CarDekho,eCommerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,570.64,6,2019
12-03-2019,Dhruva Space,Aerospace,Satellite Communication,Bangalore,Mumbai Angels,Seed,407.6,3,2019
12-03-2019,Dhruva Space,Aerospace,Satellite Communication,Bangalore,Ravikanth Reddy,Seed,407.6,3,2019
13-12-2019,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,SAIF Partners,Series F,163.04,12,2019
13-12-2019,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,Spring Canter Investment Ltd.,Series F,163.04,12,2019
17-12-2019,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bangalore,Paytm,Series C,97.824,12,2019
17-12-2019,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bangalore,NPTK,Series C,97.824,12,2019
17-12-2019,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bangalore,Sabre Partners,Series C,97.824,12,2019
17-12-2019,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bangalore,Neoplux,Series C,97.824,12,2019
16-12-2019,Licious,eCommerce,Online Meat And Seafood Ordering Startup,Bangalore,Vertex Growth Fund,Series E,244.56,12,2019
14-12-2019,Trell,Video,Experience Discovery Platform,Bangalore,Ruizheng Investment,Seed Round,16.304,12,2019
12-11-2019,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education,Seed Round,407.6,11,2019
12-11-2019,Rein Games,Gaming,Real money based gaming startup,Noida,Medical Group (MEMG),Seed Round,407.6,11,2019
20-12-2019,Lenskart.com,eCommerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,1883.112,12,2019
13-11-2019,Freshworks,Software,Business and customer engagement tools,San Francisco,Sequoia Capital,Series H,1222.8,11,2019
13-11-2019,Freshworks,Software,Business and customer engagement tools,San Francisco,CapitalG,Series H,1222.8,11,2019
13-11-2019,Freshworks,Software,Business and customer engagement tools,San Francisco,Accel Partners,Series H,1222.8,11,2019
14-11-2019,Misters,Health and Wellness,Men's Health and Wellness brand,Gurgaon,Sauce.vc,Series B,3.962,11,2019
14-11-2019,Misters,Health and Wellness,Men's Health and Wellness brand,Gurgaon,Rainforest Ventures,Series B,3.962,11,2019
13-11-2019,Sunstone Eduversity Pvt. Ltd,Education,E-learning,Gurgaon,Prime Venture Partners,Seed,12.228,11,2019
13-11-2019,Sunstone Eduversity Pvt. Ltd,Education,E-learning,Gurgaon,LetsVenture Angel Fund,Seed,12.228,11,2019
13-11-2019,Sunstone Eduversity Pvt. Ltd,Education,E-learning,Gurgaon,PS1 Venture,Seed,12.228,11,2019
13-11-2019,Sunstone Eduversity Pvt. Ltd,Education,E-learning,Gurgaon,GlobalLogic co-founder Rajul Garg,Seed,12.228,11,2019
17-11-2019,Burger Singh,Food and Beverage,Indian Burger Brand,Gurgaon,RB Investments,Venture,0,11,2019
18-11-2019,Healthians,Health and Wellness,Healthcare services,Gurgaon,DG Daiwa Ventures,Series B,97.824,11,2019
18-11-2019,Healthians,Health and Wellness,Healthcare services,Gurgaon,DG Incubation,Series B,97.824,11,2019
15-11-2019,Ninjacart,B2B Marketing,Agri-tech,Bangalore,Trifecta Capital Advisors LLP,Debt Funding,211.952,11,2019
20-11-2019,Aye Finance,FinTech,Financial Services To MSMEs,Gurgaon,FinTech,Debt Funding,141.937,11,2019
11-12-2019,SuperGaming,Video Games,Social gaming platform,Pune,Dream Incubator,Seed Funding,10.598,12,2019
20-11-2019,Clumio,SaaS,Recovery software,San Jose,Altimeter Capital,Series C,1100.52,11,2019
20-11-2019,Clumio,SaaS,Recovery software,San Jose,Sutter Hill Ventures,Series C,1100.52,11,2019
11-11-2019,eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,2.446,11,2019
19-11-2019,Digital Mall Asia,eCommerce,Virtual e-commerce platform,New Delhi,Amour Infrastructure,Seed Funding,1793.44,11,2019
18-11-2019,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,Ackermans,Series B,128.802,11,2019
18-11-2019,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,van Haaren,Series B,128.802,11,2019
18-11-2019,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,HealthQuad Advisors Private Limited,Series B,128.802,11,2019
18-11-2019,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,Rebright Partners,Series B,128.802,11,2019
18-11-2019,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,Toppan Printing,Series B,128.802,11,2019
15-11-2019,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,Matrix Partners,Series B,2307.016,11,2019
15-11-2019,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,Stellaris Venture Partners,Series B,2307.016,11,2019
15-11-2019,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,Kalaari Capital,Series B,2307.016,11,2019
25-11-2019,Paytm,FinTech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,8152,11,2019
10-04-2019,Dunzo,Customer Service,Delivery Service,Bangalore,Lightbox Ventures,Series D,366.84,4,2019
10-02-2019,Udaan,B2B,Business development,Bangalore,Altimeter Capital,Series D,4768.92,2,2019
10-02-2019,Udaan,B2B,Business development,Bangalore,DST Global,Series D,4768.92,2,2019
21-10-2019,The Man Company,Consumer Goods,Beauty and Grooming,Gurgaon,Ayushmann Khurana,Corporate Round,0,10,2019
09-05-2019,FPL Technologies,FinTech,Financial Services,Pune,Matrix Partners,Maiden Round,36.684,5,2019
09-05-2019,FPL Technologies,FinTech,Financial Services,Pune,Sequoia Capital India,Maiden Round,36.684,5,2019
09-04-2019,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,26.902,4,2019
